year,expenditure_type,school,funding_category,amount
2015,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Not Categorized,0
2016,Non-Instructional,Avon_Community_School_Corpnbsp_3315,Not Categorized,0
2006,Instructional,Avondale_Meadows_Academy_9645,Student Academic Achievement,27423
2009,Instructional,Avondale_Meadows_Academy_9645,Student Academic Achievement,1561344
2013,Instructional,Avondale_Meadows_Academy_9645,Student Academic Achievement,2944694
2014,Instructional,Avondale_Meadows_Academy_9645,Student Academic Achievement,2769744
2015,Instructional,Avondale_Meadows_Academy_9645,Student Academic Achievement,3164667
2016,Instructional,Avondale_Meadows_Academy_9645,Student Academic Achievement,2897230
2006,Instructional,Avondale_Meadows_Academy_9645,Student Instructional Support,88673
2009,Instructional,Avondale_Meadows_Academy_9645,Student Instructional Support,374719
2013,Instructional,Avondale_Meadows_Academy_9645,Student Instructional Support,868296
2014,Instructional,Avondale_Meadows_Academy_9645,Student Instructional Support,790590
2015,Instructional,Avondale_Meadows_Academy_9645,Student Instructional Support,723111
2016,Instructional,Avondale_Meadows_Academy_9645,Student Instructional Support,777952
2006,Non-Instructional,Avondale_Meadows_Academy_9645,Overhead and Operational,37185
2009,Non-Instructional,Avondale_Meadows_Academy_9645,Overhead and Operational,192
2013,Non-Instructional,Avondale_Meadows_Academy_9645,Overhead and Operational,681981
2014,Non-Instructional,Avondale_Meadows_Academy_9645,Overhead and Operational,753191
2015,Non-Instructional,Avondale_Meadows_Academy_9645,Overhead and Operational,688098
2016,Non-Instructional,Avondale_Meadows_Academy_9645,Overhead and Operational,864794
2006,Non-Instructional,Avondale_Meadows_Academy_9645,Non Operational,40119
2009,Non-Instructional,Avondale_Meadows_Academy_9645,Non Operational,207
2013,Non-Instructional,Avondale_Meadows_Academy_9645,Non Operational,557000
2014,Non-Instructional,Avondale_Meadows_Academy_9645,Non Operational,4503877
2015,Non-Instructional,Avondale_Meadows_Academy_9645,Non Operational,261120
2016,Non-Instructional,Avondale_Meadows_Academy_9645,Non Operational,359517
2006,Non-Instructional,Avondale_Meadows_Academy_9645,Not Categorized,0
2009,Non-Instructional,Avondale_Meadows_Academy_9645,Not Categorized,00
2013,Non-Instructional,Avondale_Meadows_Academy_9645,Not Categorized,0
2014,Non-Instructional,Avondale_Meadows_Academy_9645,Not Categorized,0
2015,Non-Instructional,Avondale_Meadows_Academy_9645,Not Categorized,0
2016,Non-Instructional,Avondale_Meadows_Academy_9645,Not Categorized,0
2006,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Academic Achievement,4362631
2009,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Academic Achievement,4584252
2013,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Academic Achievement,4383142
2014,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Academic Achievement,4448037
2015,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Academic Achievement,4507066
2016,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Academic Achievement,4652169
2006,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Instructional Support,427331
2009,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Instructional Support,556935
2013,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Instructional Support,659634
2014,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Instructional Support,726467
2015,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Instructional Support,674972
2016,Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Student Instructional Support,782521
2006,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Overhead and Operational,1347509
2009,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Overhead and Operational,187
2013,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Overhead and Operational,2478235
2014,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Overhead and Operational,2547343
2015,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Overhead and Operational,2355409
2016,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Overhead and Operational,1945918
2006,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Non Operational,1084420
2009,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Non Operational,150
2013,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Non Operational,1169136
2014,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Non Operational,920758
2015,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Non Operational,738304
2016,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Non Operational,813145
2006,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Not Categorized,0
2009,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Not Categorized,00
2013,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Not Categorized,0
2014,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Not Categorized,0
2015,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Not Categorized,0
2016,Non-Instructional,BarrReeve_Com_Schools_Incnbsp_1315,Not Categorized,0
2006,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Academic Achievement,60602399
2009,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Academic Achievement,62231355
2013,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Academic Achievement,65398946
2014,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Academic Achievement,64014912
2015,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Academic Achievement,69148106
2016,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Academic Achievement,66193539
2006,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Instructional Support,9353302
2009,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Instructional Support,10145099
2013,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Instructional Support,10226025
2014,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Instructional Support,10544547
2015,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Instructional Support,10908221
2016,Instructional,Bartholomew_Con_School_Corpnbsp_365,Student Instructional Support,10704984
2006,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Overhead and Operational,21677346
2009,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Overhead and Operational,189
2013,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Overhead and Operational,23531821
2014,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Overhead and Operational,26319622
2015,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Overhead and Operational,28421283
2016,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Overhead and Operational,26705147
2006,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Non Operational,23117700
2009,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Non Operational,201
2013,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Non Operational,34485212
2014,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Non Operational,33093415
2015,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Non Operational,30663530
2016,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Non Operational,31863876
2006,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Not Categorized,0
2009,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Not Categorized,00
2013,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Not Categorized,0
2014,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Not Categorized,0
2015,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Not Categorized,0
2016,Non-Instructional,Bartholomew_Con_School_Corpnbsp_365,Not Categorized,0
2006,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Academic Achievement,9010181
2009,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Academic Achievement,10116484
2013,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Academic Achievement,10976671
2014,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Academic Achievement,11494413
2015,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Academic Achievement,11577199
2016,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Academic Achievement,12163988
2006,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Instructional Support,1360832
2009,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Instructional Support,1583268
2013,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Instructional Support,1701879
2014,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Instructional Support,1767350
2015,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Instructional Support,1903233
2016,Instructional,Batesville_Community_Sch_Corpnbsp_6895,Student Instructional Support,1941708
2006,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Overhead and Operational,3717016
2009,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Overhead and Operational,223
2013,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Overhead and Operational,4646734
2014,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Overhead and Operational,4581872
2015,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Overhead and Operational,4721208
2016,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Overhead and Operational,5025661
2006,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Non Operational,2564311
2009,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Non Operational,154
2013,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Non Operational,2075423
2014,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Non Operational,4710132
2015,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Non Operational,4745053
2016,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Non Operational,3386816
2006,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Not Categorized,0
2009,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Not Categorized,00
2013,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Not Categorized,0
2014,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Not Categorized,0
2015,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Not Categorized,0
2016,Non-Instructional,Batesville_Community_Sch_Corpnbsp_6895,Not Categorized,0
2006,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Academic Achievement,9538326
2009,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Academic Achievement,9125483
2013,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Academic Achievement,9351162
2014,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Academic Achievement,8959138
2015,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Academic Achievement,9101245
2016,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Academic Achievement,9118402
2006,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Instructional Support,1002273
2009,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Instructional Support,1185767
2013,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Instructional Support,1370916
2014,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Instructional Support,1541365
2015,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Instructional Support,1448257
2016,Instructional,Baugo_Community_Schoolsnbsp_2260,Student Instructional Support,1475262
2006,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Overhead and Operational,3790290
2009,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Overhead and Operational,198
2013,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Overhead and Operational,4181938
2014,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Overhead and Operational,4523413
2015,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Overhead and Operational,5029301
2016,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Overhead and Operational,4672031
2006,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Non Operational,4800429
2009,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Non Operational,251
2013,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Non Operational,5346250
2014,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Non Operational,4574860
2015,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Non Operational,5006632
2016,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Non Operational,5266564
2006,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Not Categorized,0
2009,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Not Categorized,00
2013,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Not Categorized,0
2014,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Not Categorized,0
2015,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Not Categorized,0
2016,Non-Instructional,Baugo_Community_Schoolsnbsp_2260,Not Categorized,0
2006,Instructional,Beacon_Academynbsp_9830,Student Academic Achievement,0
2009,Instructional,Beacon_Academynbsp_9830,Student Academic Achievement,180299
2013,Instructional,Beacon_Academynbsp_9830,Student Academic Achievement,196124
2014,Instructional,Beacon_Academynbsp_9830,Student Academic Achievement,109519
2015,Instructional,Beacon_Academynbsp_9830,Student Academic Achievement,101144
2016,Instructional,Beacon_Academynbsp_9830,Student Academic Achievement,34777
2006,Instructional,Beacon_Academynbsp_9830,Student Instructional Support,0
2009,Instructional,Beacon_Academynbsp_9830,Student Instructional Support,147515
2013,Instructional,Beacon_Academynbsp_9830,Student Instructional Support,135233
2014,Instructional,Beacon_Academynbsp_9830,Student Instructional Support,140170
2015,Instructional,Beacon_Academynbsp_9830,Student Instructional Support,134136
2016,Instructional,Beacon_Academynbsp_9830,Student Instructional Support,90396
2006,Non-Instructional,Beacon_Academynbsp_9830,Overhead and Operational,0
2009,Non-Instructional,Beacon_Academynbsp_9830,Overhead and Operational,42543
2013,Non-Instructional,Beacon_Academynbsp_9830,Overhead and Operational,48385
2014,Non-Instructional,Beacon_Academynbsp_9830,Overhead and Operational,53490
2015,Non-Instructional,Beacon_Academynbsp_9830,Overhead and Operational,36327
2016,Non-Instructional,Beacon_Academynbsp_9830,Overhead and Operational,54854
2006,Non-Instructional,Beacon_Academynbsp_9830,Non Operational,0
2009,Non-Instructional,Beacon_Academynbsp_9830,Non Operational,276485
2013,Non-Instructional,Beacon_Academynbsp_9830,Non Operational,38722
2014,Non-Instructional,Beacon_Academynbsp_9830,Non Operational,30808
2015,Non-Instructional,Beacon_Academynbsp_9830,Non Operational,22330
2016,Non-Instructional,Beacon_Academynbsp_9830,Non Operational,11349
2006,Non-Instructional,Beacon_Academynbsp_9830,Not Categorized,0
2009,Non-Instructional,Beacon_Academynbsp_9830,Not Categorized,0
2013,Non-Instructional,Beacon_Academynbsp_9830,Not Categorized,0
2014,Non-Instructional,Beacon_Academynbsp_9830,Not Categorized,0
2015,Non-Instructional,Beacon_Academynbsp_9830,Not Categorized,0
2016,Non-Instructional,Beacon_Academynbsp_9830,Not Categorized,0
2006,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Academic Achievement,11274459
2009,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Academic Achievement,14868862
2013,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Academic Achievement,17693081
2014,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Academic Achievement,17533219
2015,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Academic Achievement,19308563
2016,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Academic Achievement,20152088
2006,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Instructional Support,1635826
2009,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Instructional Support,1305077
2013,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Instructional Support,1477042
2014,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Instructional Support,1477290
2015,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Instructional Support,1943198
2016,Instructional,Beech_Grove_City_Schoolsnbsp_5380,Student Instructional Support,1823129
2006,Non-Instructional,Beech_Grove_City_Schoolsnbsp_5380,Overhead and Operational,4711363
2009,Non-Instructional,Beech_Grove_City_Schoolsnbsp_5380,Overhead and Operational,223
